Analyte Abv.,Analyte Name,CASRN,Treatment Process,Test Scale,Matrix,Matrix Detail,Treatment Temperature (°C),Treatment Time,Condition Details,Effectiveness (%),Effectiveness Type,Measure Details,Initial Concentration,Initial Details,Post Concentration,Post Details,Offgas Concentration,Additional Details,Citation
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,75 minute,,,,,0.6 mg/kg,,0.0087 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,45 minute,,,,,0.6 mg/kg,,0.0021 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,45 minute,,,,,0.6 mg/kg,,ND,Limit of detection not given,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,45 minute,,,,,0.6 mg/kg,,0.0004 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,45 minute,,,,,0.6 mg/kg,,0.0006 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,45 minute,,,,,0.6 mg/kg,,0.0013 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,45 minute,,,,,0.6 mg/kg,,0.0011 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,45 minute,,,,,0.6 mg/kg,,0.0005 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,45 minute,,,,,0.6 mg/kg,,0.004 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,15 minute,,,,,0.6 mg/kg,,0.73 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,15 minute,,,,,0.6 mg/kg,,0.052 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,15 minute,,,,,0.6 mg/kg,,0.032 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,15 minute,,,,,0.6 mg/kg,,0.49 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,15 minute,,,,,0.6 mg/kg,,0.017 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,15 minute,,,,,0.6 mg/kg,,0.018 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,15 minute,,,,,0.6 mg/kg,,0.013 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,450,15 minute,,,,,0.6 mg/kg,,0.011 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,75 minute,,,,,0.6 mg/kg,,0.004 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,75 minute,,,,,0.6 mg/kg,,0.0035 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,75 minute,,,,,0.6 mg/kg,,0.42 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,75 minute,,,,,0.6 mg/kg,,0.86 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,75 minute,,,,,0.6 mg/kg,,0.0048 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,75 minute,,,,,0.6 mg/kg,,0.0029 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,75 minute,,,,,0.6 mg/kg,,0.0046 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,75 minute,,,,,0.6 mg/kg,,0.0075 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,45 minute,,,,,0.6 mg/kg,,0.018 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,45 minute,,,,,0.6 mg/kg,,0.52 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,45 minute,,,,,0.6 mg/kg,,0.78 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,45 minute,,,,,0.6 mg/kg,,0.026 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,45 minute,,,,,0.6 mg/kg,,0.025 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,45 minute,,,,,0.6 mg/kg,,0.02 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,45 minute,,,,,0.6 mg/kg,,0.019 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,45 minute,,,,,0.6 mg/kg,,0.01 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,15 minute,,,,,0.6 mg/kg,,1.1 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,15 minute,,,,,0.6 mg/kg,,0.34 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,15 minute,,,,,0.6 mg/kg,,0.15 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,15 minute,,,,,0.6 mg/kg,,0.47 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,15 minute,,,,,0.6 mg/kg,,0.043 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,15 minute,,,,,0.6 mg/kg,,0.076 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,15 minute,,,,,0.6 mg/kg,,0.06 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,350,15 minute,,,,,0.6 mg/kg,,0.059 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,75 minute,,,,,0.6 mg/kg,,0.29 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,75 minute,,,,,0.6 mg/kg,,0.2 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,75 minute,,,,,0.6 mg/kg,,0.49 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,75 minute,,,,,0.6 mg/kg,,1 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,75 minute,,,,,0.6 mg/kg,,0.14 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,75 minute,,,,,0.6 mg/kg,,0.13 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,75 minute,,,,,0.6 mg/kg,,0.052 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,75 minute,,,,,0.6 mg/kg,,0.07 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,45 minute,,,,,0.6 mg/kg,,0.86 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,45 minute,,,,,0.6 mg/kg,,0.48 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,45 minute,,,,,0.6 mg/kg,,0.54 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,45 minute,,,,,0.6 mg/kg,,0.52 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,45 minute,,,,,0.6 mg/kg,,0.3 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,45 minute,,,,,0.6 mg/kg,,0.28 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,45 minute,,,,,0.6 mg/kg,,0.17 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,45 minute,,,,,0.6 mg/kg,,0.14 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,15 minute,,,,,0.6 mg/kg,,1.3 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,15 minute,,,,,0.6 mg/kg,,0.5 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,15 minute,,,,,0.6 mg/kg,,0.99 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,15 minute,,,,,0.6 mg/kg,,0.56 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,15 minute,,,,,0.6 mg/kg,,0.54 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,15 minute,,,,,0.6 mg/kg,,0.49 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,15 minute,,,,,0.6 mg/kg,,0.73 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,250,15 minute,,,,,0.6 mg/kg,,0.47 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,75 minute,,,,,0.6 mg/kg,,0.78 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,75 minute,,,,,0.6 mg/kg,,0.5 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,75 minute,,,,,0.6 mg/kg,,1.1 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,75 minute,,,,,0.6 mg/kg,,0.52 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,75 minute,,,,,0.6 mg/kg,,0.54 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,75 minute,,,,,0.6 mg/kg,,0.43 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,75 minute,,,,,0.6 mg/kg,,0.72 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,75 minute,,,,,0.6 mg/kg,,0.4109 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,45 minute,,,,,0.6 mg/kg,,0.88 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,45 minute,,,,,0.6 mg/kg,,0.85 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,45 minute,,,,,0.6 mg/kg,,0.51 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,45 minute,,,,,0.6 mg/kg,,0.31 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,45 minute,,,,,0.6 mg/kg,,0.56 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,45 minute,,,,,0.6 mg/kg,,0.38 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,45 minute,,,,,0.6 mg/kg,,0.86 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,45 minute,,,,,0.6 mg/kg,,0.51 mg/kg,,,Data from Table S2 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,15 minute,,,,,0.6 mg/kg,,0.472 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFOS,Perfluorooctylsulfonate,1763-23-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,15 minute,,,,,0.6 mg/kg,,1 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFOSA,Perfluorooctanesulfonamide,754-91-6,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,15 minute,,,,,0.6 mg/kg,,1.4 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,15 minute,,,,,0.6 mg/kg,,0.54 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,15 minute,,,,,0.6 mg/kg,,0.23 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,15 minute,,,,,0.6 mg/kg,,0.38 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,15 minute,,,,,0.6 mg/kg,,0.89 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,Clay soil spiked with PFAS,150,15 minute,,,,,0.6 mg/kg,,0.35 mg/kg,,,Milligrams contaminant per kilogram of soil,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,75 minute,,,,,˜0.001 mg/kg,Interpolated from Fig 1A,ND,Limit of detection = 0.003 ug/kg,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,75 minute,,,,,˜0.0075 mg/kg,Interpolated from Fig 1A,0.0011 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,75 minute,,,,,˜0.0025 mg/kg,Interpolated from Fig 1A,0.00022 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,75 minute,,,,,˜0.0013 mg/kg,Interpolated from Fig 1A,0.00013 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,75 minute,,,,,˜0.0013 mg/kg,Interpolated from Fig 1A,0.00039 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,45 minute,,,,,˜0.0075 mg/kg,Interpolated from Fig 1A,0.0016 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,45 minute,,,,,˜0.0025 mg/kg,Interpolated from Fig 1A,0.00023 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,45 minute,,,,,˜0.001 mg/kg,Interpolated from Fig 1A,0.00039 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,45 minute,,,,,˜0.0013 mg/kg,Interpolated from Fig 1A,0.00072 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,45 minute,,,,,˜0.0013 mg/kg,Interpolated from Fig 1A,0.00014 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFUnA,Perfluoroundecanoic acid,2058-94-8,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,15 minute,,,,,˜0.0075 mg/kg,Interpolated from Fig 1A,0.0008 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFHxA,Perfluorohexanoic acid,307-24-4,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,15 minute,,,,,˜0.0013 mg/kg,Interpolated from Fig 1A,0.00019 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFOA,Perflouorooctanoate,335-67-1,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,15 minute,,,,,˜0.0025 mg/kg,Interpolated from Fig 1A,0.00044 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,15 minute,,,,,˜0.001 mg/kg,Interpolated from Fig 1A,0.00037 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFBA,Perfluorobutanoic acid,375-22-4,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,550,15 minute,,,,,˜0.0013 mg/kg,Interpolated from Fig 1A,0.0012 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
PFNA,Perfluorononanoic acid,375-95-1,Indirect Thermal Desorption,Lab,Soil,AFFF contaminated soil,450,75 minute,,,,,˜0.001 mg/kg,Interpolated from Fig 1A,0.00051 mg/kg,,,Post-treatment concentration from Table S3 of supplemental information; concentrations dry weight,Sorengard et al 2020
